ar,hlutf_med_vinnu,hlutf_atvinnulaus,hlutf_i_vinnuafli,land,innfluttir,utfluttir,haelisumsoknir,nyir_innlendir_rikisborgarar,erlendir_rikisborgarar_samtals,samthykkt,hafnad
2000,0.644,0.067,0.69,Ástralía,110270,9117,12568,72591,4408550,NA,NA
2001,0.64,0.073,0.69,Ástralía,129643,10652,12065,81930,4478340,NA,NA
2002,0.645,0.068,0.6920000000000001,Ástralía,119968,0,5806,87602,4531560,NA,NA
2003,0.649,0.064,0.693,Ástralía,124580,0,4268,81769,4652180,NA,NA
2004,0.66,0.055,0.6990000000000001,Ástralía,148664,28613,3181,89265,4749480,NA,NA
2005,0.674,0.053,0.7120000000000001,Ástralía,165887,27616,3176,95267,4873900,NA,NA
2006,0.679,0.051,0.715,Ástralía,178375,28884,3494,105774,5028560,NA,NA
2007,0.6859999999999999,0.049,0.721,Ástralía,190213,29554,3954,139376,5229900,NA,NA
2008,0.698,0.046,0.732,Ástralía,204440,30739,4752,122095,5474470,NA,NA
2009,0.6829999999999999,0.067,0.732,Ástralía,219795,27521,6200,87306,5725910,NA,NA
2010,0.6920000000000001,0.055,0.733,Ástralía,202690,29195,8244,119837,5876480,NA,NA
2011,0.705,0.052000000000000005,0.7440000000000001,Ástralía,206695,31100,11505,95284,6009040,NA,NA
2012,0.7,0.054000000000000006,0.74,Ástralía,236190,29715,15399,83563,6203950,NA,NA
2013,0.6970000000000001,0.059000000000000004,0.741,Ástralía,244886,31588,11296,122646,6397540,NA,NA
2014,0.696,0.061,0.741,Ástralía,233933,32514,8156,162898,6558190,NA,NA
2015,0.6990000000000001,0.062,0.746,Ástralía,223604,33000,11321,136447,6716540,NA,NA
2016,0.703,0.06,0.747,Ástralía,218351,32200,26829,133019,6897410,NA,NA
2017,0.708,0.059000000000000004,0.752,Ástralía,223940,0,32126,137739,7124270,NA,NA
2018,0.72,0.055,0.762,Ástralía,186576,0,26273,80576,7318070,NA,NA
2019,0.723,0.055,0.765,Ástralía,169204,0,26227,127648,7515160,NA,NA
2020,0.71,0.071,0.764,Ástralía,137345,0,18593,204288,7638570,NA,NA
2021,0.742,0.053,0.784,Ástralía,0,0,11028,0,7517000,NA,NA
2000,0.49700000000000005,0.158,0.59,Belgía,49436,29258,42554,54993,0,NA,NA
2001,0.47600000000000003,0.14400000000000002,0.556,Belgía,55879,26408,24529,57145,956639,NA,NA
2002,0.485,0.16699999999999998,0.5820000000000001,Belgía,59296,25929,18530,40685,991144,NA,NA
2003,0.47100000000000003,0.17800000000000002,0.573,Belgía,58553,26670,16895,33697,1022201,NA,NA
2004,0.501,0.149,0.589,Belgía,61913,29714,15199,34738,1064120,NA,NA
2005,0.502,0.17,0.605,Belgía,66849,30554,15758,31511,1101858,NA,NA
2006,0.501,0.17300000000000001,0.606,Belgía,71678,30957,11454,31852,1131568,NA,NA
2007,0.509,0.16399999999999998,0.608,Belgía,80252,30751,10970,36063,1120057,NA,NA
2008,0.54,0.146,0.632,Belgía,105953,41648,12110,37701,1192744,3505,10115
2009,0.522,0.162,0.623,Belgía,102467,45654,17186,32718,1206007,2910,12400
2010,0.53,0.171,0.64,Belgía,114575,43365,21755,34479,1503450,3510,13160
2011,0.526,0.151,0.619,Belgía,131677,51832,26003,29744,1628274,5075,14955
2012,0.52,0.16899999999999998,0.625,Belgía,115623,59058,18274,38000,1678794,5550,19090
2013,0.527,0.172,0.637,Belgía,105136,67965,12220,33969,1723687,6280,15220
2014,0.528,0.17600000000000002,0.6409999999999999,Belgía,105147,63722,12320,18485,1750081,8055,12360
2015,0.5329999999999999,0.17,0.642,Belgía,128164,58771,36966,26545,1785837,10475,8980
2016,0.541,0.157,0.642,Belgía,105644,61171,14042,31037,1849952,15050,9960
2017,0.565,0.134,0.652,Belgía,108727,58269,13375,36438,1881776,12585,11480
2018,0.583,0.115,0.659,Belgía,119323,56528,17375,35062,1921451,9680,9370
2019,0.5870000000000001,0.10400000000000001,0.655,Belgía,128899,46381,22600,39284,1973801,6530,10665
2020,0.575,0.11,0.645,Belgía,100852,51346,12655,31836,2054425,5715,10670
2021,0.594,0.11,0.6679999999999999,Belgía,0,0,19025,0,2074000,9165,11885
2008,0.708,0.07,0.762,Kanada,247234,0,34749,176597,0,NA,NA
2009,0.685,0.10099999999999999,0.762,Kanada,252059,0,33968,156340,0,NA,NA
2010,0.688,0.098,0.762,Kanada,280459,0,22539,143557,0,NA,NA
2011,0.69,0.08800000000000001,0.7559999999999999,Kanada,248483,0,24974,179434,6762365,NA,NA
2012,0.701,0.084,0.765,Kanada,257587,0,20438,111912,0,NA,NA
2013,0.706,0.08199999999999999,0.769,Kanada,258802,0,10206,127441,0,NA,NA
2014,0.701,0.08,0.762,Kanada,260067,0,12132,259205,0,NA,NA
2015,0.7090000000000001,0.075,0.767,Kanada,271485,0,14619,251008,0,NA,NA
2016,0.7170000000000001,0.076,0.7759999999999999,Kanada,296080,0,23422,147160,6418180,NA,NA
