land,dags,ar,land_fra,flottafjoldi,mannfjoldi
Belgía,2022-03-01,2022,EXT_EU27_2020,26495,11552615
Belgía,2022-04-01,2022,EXT_EU27_2020,37520,11552615
Belgía,2022-05-01,2022,EXT_EU27_2020,44795,11552615
Belgía,2022-06-01,2022,EXT_EU27_2020,49120,11552615
Belgía,2022-07-01,2022,EXT_EU27_2020,52300,11552615
Belgía,2022-08-01,2022,EXT_EU27_2020,55405,11552615
Belgía,2022-09-01,2022,EXT_EU27_2020,57580,11552615
Belgía,2022-10-01,2022,EXT_EU27_2020,NA,11552615
Búlgaría,2022-03-01,2022,EXT_EU27_2020,30695,6898621
Búlgaría,2022-04-01,2022,EXT_EU27_2020,92405,6898621
Búlgaría,2022-05-01,2022,EXT_EU27_2020,112355,6898621
Búlgaría,2022-06-01,2022,EXT_EU27_2020,119305,6898621
Búlgaría,2022-07-01,2022,EXT_EU27_2020,125795,6898621
Búlgaría,2022-08-01,2022,EXT_EU27_2020,130290,6898621
Búlgaría,2022-09-01,2022,EXT_EU27_2020,134790,6898621
Búlgaría,2022-10-01,2022,EXT_EU27_2020,142050,6898621
Sviss,2022-03-01,2022,EXT_EU27_2020,15095,8701914
Sviss,2022-04-01,2022,EXT_EU27_2020,38120,8701914
Sviss,2022-05-01,2022,EXT_EU27_2020,51610,8701914
Sviss,2022-06-01,2022,EXT_EU27_2020,55935,8701914
Sviss,2022-07-01,2022,EXT_EU27_2020,57255,8701914
Sviss,2022-08-01,2022,EXT_EU27_2020,58780,8701914
Sviss,2022-09-01,2022,EXT_EU27_2020,59960,8701914
Sviss,2022-10-01,2022,EXT_EU27_2020,60570,8701914
Þýskaland,2022-03-01,2022,EXT_EU27_2020,NA,83129285
Þýskaland,2022-04-01,2022,EXT_EU27_2020,NA,83129285
Þýskaland,2022-05-01,2022,EXT_EU27_2020,NA,83129285
Þýskaland,2022-06-01,2022,EXT_EU27_2020,NA,83129285
Þýskaland,2022-07-01,2022,EXT_EU27_2020,NA,83129285
Þýskaland,2022-08-01,2022,EXT_EU27_2020,699870,83129285
Þýskaland,2022-09-01,2022,EXT_EU27_2020,813725,83129285
Þýskaland,2022-10-01,2022,EXT_EU27_2020,NA,83129285
Danmörk,2022-03-01,2022,EXT_EU27_2020,1235,5850189
Danmörk,2022-04-01,2022,EXT_EU27_2020,10435,5850189
Danmörk,2022-05-01,2022,EXT_EU27_2020,20700,5850189
Danmörk,2022-06-01,2022,EXT_EU27_2020,25245,5850189
Danmörk,2022-07-01,2022,EXT_EU27_2020,26425,5850189
Danmörk,2022-08-01,2022,EXT_EU27_2020,27940,5850189
Danmörk,2022-09-01,2022,EXT_EU27_2020,29775,5850189
Danmörk,2022-10-01,2022,EXT_EU27_2020,NA,5850189
Eistland,2022-03-01,2022,EXT_EU27_2020,13810,1330932
Eistland,2022-04-01,2022,EXT_EU27_2020,22295,1330932
Eistland,2022-05-01,2022,EXT_EU27_2020,25865,1330932
Eistland,2022-06-01,2022,EXT_EU27_2020,28015,1330932
Eistland,2022-07-01,2022,EXT_EU27_2020,29730,1330932
Eistland,2022-08-01,2022,EXT_EU27_2020,32045,1330932
Eistland,2022-09-01,2022,EXT_EU27_2020,34025,1330932
Eistland,2022-10-01,2022,EXT_EU27_2020,36000,1330932
Grikkland,2022-03-01,2022,EXT_EU27_2020,0,10656962
Grikkland,2022-04-01,2022,EXT_EU27_2020,8880,10656962
Grikkland,2022-05-01,2022,EXT_EU27_2020,14765,10656962
Grikkland,2022-06-01,2022,EXT_EU27_2020,16750,10656962
Grikkland,2022-07-01,2022,EXT_EU27_2020,18050,10656962
Grikkland,2022-08-01,2022,EXT_EU27_2020,19080,10656962
Grikkland,2022-09-01,2022,EXT_EU27_2020,19780,10656962
Grikkland,2022-10-01,2022,EXT_EU27_2020,20415,10656962
Spánn,2022-03-01,2022,EXT_EU27_2020,32980,47326687
Spánn,2022-04-01,2022,EXT_EU27_2020,83060,47326687
Spánn,2022-05-01,2022,EXT_EU27_2020,115775,47326687
Spánn,2022-06-01,2022,EXT_EU27_2020,127235,47326687
Spánn,2022-07-01,2022,EXT_EU27_2020,133690,47326687
Spánn,2022-08-01,2022,EXT_EU27_2020,139970,47326687
Spánn,2022-09-01,2022,EXT_EU27_2020,145825,47326687
Spánn,2022-10-01,2022,EXT_EU27_2020,150980,47326687
Finnland,2022-03-01,2022,EXT_EU27_2020,2805,5541020
Finnland,2022-04-01,2022,EXT_EU27_2020,15110,5541020
Finnland,2022-05-01,2022,EXT_EU27_2020,22715,5541020
Finnland,2022-06-01,2022,EXT_EU27_2020,28360,5541020
Finnland,2022-07-01,2022,EXT_EU27_2020,32660,5541020
Finnland,2022-08-01,2022,EXT_EU27_2020,36060,5541020
Finnland,2022-09-01,2022,EXT_EU27_2020,38745,5541020
Finnland,2022-10-01,2022,EXT_EU27_2020,NA,5541020
Frakkland,2022-03-01,2022,EXT_EU27_2020,27235,67719897
Frakkland,2022-04-01,2022,EXT_EU27_2020,52795,67719897
Frakkland,2022-05-01,2022,EXT_EU27_2020,62600,67719897
Frakkland,2022-06-01,2022,EXT_EU27_2020,68635,67719897
Frakkland,2022-07-01,2022,EXT_EU27_2020,73100,67719897
Frakkland,2022-08-01,2022,EXT_EU27_2020,80080,67719897
Frakkland,2022-09-01,2022,EXT_EU27_2020,98965,67719897
Frakkland,2022-10-01,2022,EXT_EU27_2020,NA,67719897
Írland,2022-03-01,2022,EXT_EU27_2020,13430,5011460
Írland,2022-04-01,2022,EXT_EU27_2020,25870,5011460
Írland,2022-05-01,2022,EXT_EU27_2020,34010,5011460
Írland,2022-06-01,2022,EXT_EU27_2020,40995,5011460
Írland,2022-07-01,2022,EXT_EU27_2020,46710,5011460
Írland,2022-08-01,2022,EXT_EU27_2020,50735,5011460
Írland,2022-09-01,2022,EXT_EU27_2020,55655,5011460
Írland,2022-10-01,2022,EXT_EU27_2020,NA,5011460
Ísland,2022-03-01,2022,EXT_EU27_2020,260,372523
Ísland,2022-04-01,2022,EXT_EU27_2020,825,372523
Ísland,2022-05-01,2022,EXT_EU27_2020,1050,372523
Ísland,2022-06-01,2022,EXT_EU27_2020,1240,372523
Ísland,2022-07-01,2022,EXT_EU27_2020,1375,372523
Ísland,2022-08-01,2022,EXT_EU27_2020,1515,372523
Ísland,2022-09-01,2022,EXT_EU27_2020,1710,372523
Ísland,2022-10-01,2022,EXT_EU27_2020,NA,372523
Ítalía,2022-03-01,2022,EXT_EU27_2020,0,59109666
Ítalía,2022-04-01,2022,EXT_EU27_2020,17270,59109666
Ítalía,2022-05-01,2022,EXT_EU27_2020,54145,59109666
Ítalía,2022-06-01,2022,EXT_EU27_2020,80265,59109666
Ítalía,2022-07-01,2022,EXT_EU27_2020,99485,59109666
Ítalía,2022-08-01,2022,EXT_EU27_2020,116065,59109666
Ítalía,2022-09-01,2022,EXT_EU27_2020,127970,59109666
Ítalía,2022-10-01,2022,EXT_EU27_2020,136095,59109666
Lúxemborg,2022-03-01,2022,EXT_EU27_2020,950,640064
Lúxemborg,2022-04-01,2022,EXT_EU27_2020,2650,640064
Lúxemborg,2022-05-01,2022,EXT_EU27_2020,3725,640064
Lúxemborg,2022-06-01,2022,EXT_EU27_2020,4040,640064
Lúxemborg,2022-07-01,2022,EXT_EU27_2020,4205,640064
Lúxemborg,2022-08-01,2022,EXT_EU27_2020,4260,640064
Lúxemborg,2022-09-01,2022,EXT_EU27_2020,4380,640064
Lúxemborg,2022-10-01,2022,EXT_EU27_2020,NA,640064
Latvía,2022-03-01,2022,EXT_EU27_2020,11165,1884488
Latvía,2022-04-01,2022,EXT_EU27_2020,19805,1884488
Latvía,2022-05-01,2022,EXT_EU27_2020,24510,1884488
Latvía,2022-06-01,2022,EXT_EU27_2020,27290,1884488
Latvía,2022-07-01,2022,EXT_EU27_2020,28910,1884488
Latvía,2022-08-01,2022,EXT_EU27_2020,30270,1884488
Latvía,2022-09-01,2022,EXT_EU27_2020,31830,1884488
Latvía,2022-10-01,2022,EXT_EU27_2020,33080,1884488
Holland,2022-03-01,2022,EXT_EU27_2020,25430,17533406
Holland,2022-04-01,2022,EXT_EU27_2020,53785,17533406
Holland,2022-05-01,2022,EXT_EU27_2020,66735,17533406
Holland,2022-06-01,2022,EXT_EU27_2020,76265,17533406
Holland,2022-07-01,2022,EXT_EU27_2020,83985,17533406
Holland,2022-08-01,2022,EXT_EU27_2020,91295,17533406
Holland,2022-09-01,2022,EXT_EU27_2020,96215,17533406
Holland,2022-10-01,2022,EXT_EU27_2020,NA,17533406
Noregur,2022-03-01,2022,EXT_EU27_2020,2245,5408320
Noregur,2022-04-01,2022,EXT_EU27_2020,9020,5408320
Noregur,2022-05-01,2022,EXT_EU27_2020,14625,5408320
Noregur,2022-06-01,2022,EXT_EU27_2020,17585,5408320
Noregur,2022-07-01,2022,EXT_EU27_2020,18860,5408320
Noregur,2022-08-01,2022,EXT_EU27_2020,23055,5408320
Noregur,2022-09-01,2022,EXT_EU27_2020,26390,5408320
Noregur,2022-10-01,2022,EXT_EU27_2020,29080,5408320
Pólland,2022-03-01,2022,EXT_EU27_2020,677110,38162224
Pólland,2022-04-01,2022,EXT_EU27_2020,1049510,38162224
Pólland,2022-05-01,2022,EXT_EU27_2020,1145665,38162224
Pólland,2022-06-01,2022,EXT_EU27_2020,1205785,38162224
Pólland,2022-07-01,2022,EXT_EU27_2020,1262080,38162224
Pólland,2022-08-01,2022,EXT_EU27_2020,1330075,38162224
Pólland,2022-09-01,2022,EXT_EU27_2020,1370625,38162224
Pólland,2022-10-01,2022,EXT_EU27_2020,1016685,38162224
Portúgal,2022-03-01,2022,EXT_EU27_2020,25040,10297876
Portúgal,2022-04-01,2022,EXT_EU27_2020,34080,10297876
Portúgal,2022-05-01,2022,EXT_EU27_2020,39320,10297876
Portúgal,2022-06-01,2022,EXT_EU27_2020,45485,10297876
Portúgal,2022-07-01,2022,EXT_EU27_2020,48215,10297876
Portúgal,2022-08-01,2022,EXT_EU27_2020,50605,10297876
Portúgal,2022-09-01,2022,EXT_EU27_2020,52180,10297876
Portúgal,2022-10-01,2022,EXT_EU27_2020,NA,10297876
Svíþjóð,2022-03-01,2022,EXT_EU27_2020,18160,10415812
Svíþjóð,2022-04-01,2022,EXT_EU27_2020,30025,10415812
Svíþjóð,2022-05-01,2022,EXT_EU27_2020,34635,10415812
Svíþjóð,2022-06-01,2022,EXT_EU27_2020,36785,10415812
Svíþjóð,2022-07-01,2022,EXT_EU27_2020,39305,10415812
Svíþjóð,2022-08-01,2022,EXT_EU27_2020,41555,10415812
Svíþjóð,2022-09-01,2022,EXT_EU27_2020,43035,10415812
Svíþjóð,2022-10-01,2022,EXT_EU27_2020,44485,10415812
Slóvenía,2022-03-01,2022,EXT_EU27_2020,860,2107007
Slóvenía,2022-04-01,2022,EXT_EU27_2020,3850,2107007
Slóvenía,2022-05-01,2022,EXT_EU27_2020,5235,2107007
Slóvenía,2022-06-01,2022,EXT_EU27_2020,5715,2107007
Slóvenía,2022-07-01,2022,EXT_EU27_2020,6230,2107007
Slóvenía,2022-08-01,2022,EXT_EU27_2020,6655,2107007
Slóvenía,2022-09-01,2022,EXT_EU27_2020,6985,2107007
Slóvenía,2022-10-01,2022,EXT_EU27_2020,NA,2107007
Slóvakía,2022-03-01,2022,EXT_EU27_2020,NA,5441991
Slóvakía,2022-04-01,2022,EXT_EU27_2020,72035,5441991
Slóvakía,2022-05-01,2022,EXT_EU27_2020,77005,5441991
Slóvakía,2022-06-01,2022,EXT_EU27_2020,80470,5441991
Slóvakía,2022-07-01,2022,EXT_EU27_2020,83520,5441991
