Dagsetning,Land,Fjöldi sem nýtur tímabundinnar verndar,Nýjar veitingar á tímabundinni vernd,Nýir umsækjendur um hæli,Umsækjendur um hæli í bið eftir niðurstöðu,Ákvarðanir teknar um hæli,Einstaklingum veitt hæli,Hlutfall jákvæðra ákvarðana
2022-03-01,Belgía,26505,26505,2815,31300,1849.4444444444443,811.1111111111112,0.43608296986933176
2022-04-01,Belgía,37540,11035,2295,31430,1951.6666666666667,895,0.45858240819812124
2022-05-01,Belgía,44820,7280,2540,32080,1988.3333333333333,893.3333333333334,0.4496181293134335
2022-06-01,Belgía,49145,4325,2915,32595,2025,891.6666666666666,0.44065385042874583
2022-07-01,Belgía,52300,3155,3015,33830,2061.6666666666665,890,0.4316895715440582
2022-08-01,Belgía,55405,3105,3510,35940,2157.777777777778,996.1111111111112,0.45918784675041224
2022-09-01,Belgía,57580,2200,3995,37670,2253.888888888889,1102.2222222222222,0.4866861219567665
2022-10-01,Belgía,56545,2095,4210,39700,2350,1208.3333333333333,0.5141843971631206
2022-11-01,Belgía,61475,1920,3355,41145,2293.3333333333335,1113.888888888889,0.4842269069772486
2022-12-01,Belgía,63210,1735,2595,41135,2236.6666666666665,1019.4444444444445,0.45426941679137656
2023-01-01,Belgía,62520,1560,2775,41465,2180,925,0.4243119266055046
2023-02-01,Belgía,63615,1470,2390,41040,2272.222222222222,1003.3333333333334,0.44026946169901127
2023-03-01,Belgía,64555,1365,2625,40620,2364.4444444444443,1081.6666666666667,0.45622699679251777
2023-04-01,Belgía,65420,1035,2045,40075,2456.6666666666665,1160,0.47218453188602444
2023-05-01,Belgía,66455,1180,2700,40455,2383.888888888889,1094.4444444444446,0.45824960353583066
2023-06-01,Belgía,67655,1290,2735,40200,2311.111111111111,1028.888888888889,0.44431467518563683
2023-07-01,Belgía,68680,1370,2965,40825,2238.3333333333335,963.3333333333334,0.430379746835443
2023-08-01,Belgía,70070,1550,3620,42500,2298.3333333333335,1010,0.43899885718273735
2023-09-01,Belgía,71350,1430,3225,42835,2358.3333333333335,1056.6666666666667,0.4476179675300317
2023-10-01,Belgía,72670,1350,3630,43505,2418.3333333333335,1103.3333333333333,0.456237077877326
2023-11-01,Belgía,73705,1090,3210,42875,NA,NA,NA
2023-12-01,Belgía,74605,925,3195,45045,NA,NA,NA
2024-01-01,Belgía,75760,1220,3090,45425,NA,NA,NA
2024-02-01,Belgía,76730,1000,2755,43545,NA,NA,NA
2022-03-01,Búlgaría,30700,30700,1360,8830,461.1111111111111,422.77777777777777,0.9149950598561614
2022-04-01,Búlgaría,92410,61655,1520,9735,543.3333333333334,500,0.9202453987730062
2022-05-01,Búlgaría,112355,19950,1840,10760,478.8888888888889,435.5555555555556,0.9055604245788296
2022-06-01,Búlgaría,119305,6945,910,9820,414.4444444444445,371.11111111111114,0.8908754503846529
2022-07-01,Búlgaría,125795,6495,1130,8510,350,306.6666666666667,0.8761904761904762
2022-08-01,Búlgaría,130290,4495,1910,7745,316.11111111111114,276.11111111111114,0.8727175881538296
2022-09-01,Búlgaría,134790,4495,2505,9400,282.22222222222223,245.55555555555557,0.8692447001171835
2022-10-01,Búlgaría,142050,7260,2795,10725,248.33333333333334,215,0.8657718120805369
2022-11-01,Búlgaría,144890,2840,2045,11555,397.2222222222222,331.1111111111111,0.8473650609713572
2022-12-01,Búlgaría,147385,2495,1160,11170,546.1111111111111,447.2222222222222,0.8289583098621773
2023-01-01,Búlgaría,149790,2405,1285,11510,695,563.3333333333334,0.8105515587529974
2023-02-01,Búlgaría,151590,1795,740,10890,701.1111111111112,540,0.7708973008509079
2023-03-01,Búlgaría,153545,1960,1315,10490,707.2222222222222,516.6666666666666,0.7312430429488185
2023-04-01,Búlgaría,155000,1450,1010,9830,713.3333333333334,493.3333333333333,0.6915887850467289
2023-05-01,Búlgaría,157645,2650,1485,9570,715.5555555555555,463.8888888888889,0.6485591900311526
2023-06-01,Búlgaría,160690,3040,1845,9600,717.7777777777778,434.4444444444444,0.6055295950155763
2023-07-01,Búlgaría,162980,2295,2340,11050,720,405,0.5625
2023-08-01,Búlgaría,164880,1900,3205,13115,741.1111111111112,425.5555555555556,0.5735815602836879
